Winner, Turns, ComLvl, PlayerLvl
0, 50, 1, 1
0, 48, 1, 1
2, 34, 1, 1
0, 48, 1, 1
0, 52, 1, 1
0, 56, 1, 1
0, 53, 1, 1
0, 53, 1, 1
0, 51, 1, 1
0, 60, 1, 1
0, 45, 1, 1
0, 43, 1, 1
1, 35, 1, 1
0, 46, 1, 1
0, 52, 1, 1
0, 60, 1, 1
0, 55, 1, 1
0, 62, 1, 1
0, 73, 1, 1
0, 49, 1, 1
0, 54, 1, 1
0, 50, 1, 1
0, 44, 1, 1
1, 57, 1, 1
0, 53, 1, 1
0, 60, 1, 1
0, 52, 1, 1
0, 46, 1, 1
0, 54, 1, 1
0, 51, 1, 1
0, 57, 1, 1
0, 47, 1, 1
0, 53, 1, 1
0, 45, 1, 1
0, 55, 1, 1
2, 36, 1, 1
0, 49, 1, 1
0, 47, 1, 1
0, 43, 1, 1
2, 26, 1, 1
0, 50, 1, 1
0, 54, 1, 1
1, 41, 1, 1
0, 47, 1, 1
0, 60, 1, 1
0, 59, 1, 1
0, 52, 1, 1
0, 48, 1, 1
0, 53, 1, 1
0, 49, 1, 1
0, 55, 1, 1
0, 45, 1, 1
0, 58, 1, 1
0, 47, 1, 1
0, 50, 1, 1
0, 55, 1, 1
0, 57, 1, 1
0, 52, 1, 1
0, 49, 1, 1
0, 49, 1, 1
0, 44, 1, 1
0, 45, 1, 1
0, 48, 1, 1
0, 55, 1, 1
0, 46, 1, 1
0, 50, 1, 1
0, 54, 1, 1
0, 51, 1, 1
0, 51, 1, 1
0, 50, 1, 1
0, 51, 1, 1
0, 49, 1, 1
0, 45, 1, 1
0, 45, 1, 1
0, 50, 1, 1
0, 52, 1, 1
0, 49, 1, 1
0, 50, 1, 1
0, 47, 1, 1
0, 50, 1, 1
0, 49, 1, 1
0, 44, 1, 1
0, 51, 1, 1
0, 51, 1, 1
0, 51, 1, 1
0, 52, 1, 1
0, 49, 1, 1
0, 50, 1, 1
0, 52, 1, 1
0, 44, 1, 1
0, 50, 1, 1
0, 41, 1, 1
0, 38, 1, 1
0, 52, 1, 1
0, 53, 1, 1
0, 58, 1, 1
0, 50, 1, 1
0, 49, 1, 1
1, 41, 1, 1
2, 12, 1, 1
0, 42, 1, 1
